Start,End,Distance
4002,5212,116.76
4002,5213,106.04
4002,5215,40.83
4002,5226,89.73
4002,5229,121.11
4002,5231,
4002,5232,61.79
4002,5233,30.38
4002,5241,65.51
4002,5257,104.67
4002,5259,8.88
4002,5261,108.07
4002,5292,125.54
4002,5304,90.29
4002,5309,109.34
4002,5311,27.32
4002,5315,67.15
4002,5322,59.13
4002,5325,33.77
4002,5333,97.48
4002,5335,41.85
4002,5339,115.19
4002,5351,111.48
4002,5357,60.1
4002,5372,26.75
4002,5373,88.53
4002,5375,116.39
4002,5379,145.08
4002,5382,152.22
4002,5389,55.63
4002,5414,11.76
4002,5419,114.93
4002,5426,39.81
4002,5435,60.67
4002,5440,57.09
4002,5443,88.87
4002,5463,49.95
4002,5466,73.15
4002,5473,35.46
4002,5478,148.29
4002,5491,66.68
4002,5492,124.31
4002,5493,57.48
4002,5496,97.59
4002,5499,165.93
4002,5519,41.34
4002,5522,154.54
4002,5530,42.76
4002,5545,77.05
4002,5562,117.7
4002,5568,89.09
4002,5579,100.73
4002,5584,77.65
4002,5601,30.79
4002,5602,45.14
4002,5606,125.59
4002,5616,78.2
4002,5619,127.52
4002,5620,29.03
4002,5622,147.87
4002,5626,88.83
4002,5633,114.74
4002,5637,105.15
4002,5643,77.35
4002,5647,83.74
4002,5660,57.66
4002,5664,54.91
4002,5669,95.91
4002,5676,32.56
4002,5677,120.16
4002,5679,
4002,5685,40.52
4002,5686,17.55
4002,5690,106.73
4002,5694,161.42
4002,5699,114.97
4002,5700,48.77
4002,5721,66.06
4002,5722,83.29
4002,5723,30.11
4002,5729,74.78
4002,5738,50.33
4002,5739,117.76
4002,5741,24.6
4002,5747,141.29
4002,5754,57.81
4002,5763,92.94
4002,5764,59.04
4002,5768,114.09
4002,5769,142.94
4002,5771,152.32
4002,5782,101.64
4002,5789,101.87
4002,5793,131.1
4002,5795,117.22
4002,5801,98.1
4002,5804,70.88
4002,5805,
4002,5806,74.24
4002,5812,44.38
4002,5813,64.57
4002,5818,139.61
4002,5821,83.28
4002,5824,95.32
4002,5832,13.43
4002,5833,52.57
4002,5838,25.81
4002,5843,47.2
4002,5844,76.36
4002,5846,35.44
4002,5848,28.67
4002,5853,53.13
4002,5862,156.1
4002,5865,56.36
4002,5866,86.58
4002,5872,65.06
4002,5875,88.48
4002,5877,135.78
4002,5879,66.97
4002,5881,120.54
4002,5884,62.65
4002,5885,97.59
4002,5886,56.83
4002,5887,17.92
4002,5891,96.57
4002,5893,67.52
4002,5911,72.52
4002,5917,111.93
4006,1,132.72
4006,4000,130.61
4006,4001,149.65
4006,4002,136.03
4006,4006,0.0
4006,4008,113.85
4006,4010,103.98
4006,4011,221.79
4006,4012,243.25
4006,4014,77.66
4006,4015,94.97
4006,4016,155.67
4006,4018,15.03
4006,4021,64.25
4006,4027,150.32
4006,4032,135.73
4006,4033,94.87
4006,4034,77.66
4006,4035,168.7
4006,4045,81.59
4006,4048,125.76
4006,4059,229.36
4006,4064,
4006,4071,113.65
4006,4077,72.52
4006,4087,142.78
4006,4088,96.02
4006,4105,137.03
4006,4114,92.95
4006,4116,75.2
4006,4126,96.78
4006,4139,154.59
4006,4142,56.15
4006,4144,176.43
4006,4152,119.89
4006,4164,131.01
4006,4168,225.42
4006,4176,111.85
4006,4179,151.3
4006,4191,150.54
4006,4196,140.85
4006,4207,77.9
4006,4211,73.78
4006,4212,123.66
4006,4221,74.04
4006,4222,153.39
4006,4228,90.53
4006,4232,117.63
4006,4234,225.85
4006,4248,131.42
4006,4250,149.19
4006,4252,127.73
4006,4253,171.87
4006,4258,92.38
4006,4259,93.81
4006,4273,150.16
4006,4274,101.29
4006,4303,107.39
4006,4316,118.85
4006,4324,124.85
4006,4327,90.89
4006,4330,151.33
4006,4332,148.42
4006,4339,103.55
4006,4361,98.02
4006,4374,104.26
4006,4377,
4006,4379,101.04
4006,4381,178.95
4006,4385,126.95
4006,4389,164.41
4006,4400,88.47
4006,4414,118.59
4006,4415,112.46
4006,4418,132.12
4006,4422,253.42
4006,4426,126.65
4006,4432,128.09
4006,4433,246.02
4006,4438,164.03
4006,4443,98.98
4006,4467,234.99
4006,4472,150.09
4006,4480,229.21
4006,4482,76.65
4006,4495,92.73
4006,4496,129.66
4006,4498,98.3
4006,4501,134.33
4006,4512,118.52
4006,4519,137.28
4006,4536,173.88
4006,4545,
4006,4550,153.37
4006,4568,98.17
4006,4601,157.41
4006,4603,237.17
4006,4617,131.11
4006,4622,155.87
4006,4624,
4006,4625,142.24
4006,4631,241.34
4006,4644,
4006,4652,148.62
4006,4681,226.19
4006,4686,130.58
4006,4696,77.8
4006,4716,95.72
4006,4717,139.08
4006,4721,104.41
4006,4732,103.78
4006,4740,158.81
4006,4759,105.71
4006,4765,135.79
4006,4769,134.13
4006,4771,5.18
4006,4772,208.38
4006,4805,124.17
4006,4806,181.4
4006,4809,145.25
4006,4817,132.17
4006,4832,131.53
4006,4850,161.47
4006,4852,164.02
4006,4853,139.27
4006,4863,139.45
4006,4878,219.59
4006,4888,124.22
4006,4889,148.82
4006,4910,113.02
4006,4915,134.25
4006,4919,91.78
4006,4925,158.2
4006,4931,112.28
4006,4942,140.73
4006,4946,102.44
4006,4953,165.94
4006,4963,137.54
4006,4964,49.2
4006,4968,77.13
4006,4969,87.08
4006,4970,138.78
4006,4996,218.92
4006,5005,57.38
4006,5033,165.01
4006,5039,136.16
4006,5049,183.62
4006,5050,92.73
4006,5051,111.69
4006,5054,190.34
4006,5067,80.77
4006,5076,131.01
4006,5086,248.2
4006,5087,134.32
4006,5095,225.08
4006,5096,169.25
4006,5105,152.38
4006,5106,116.61
4006,5111,189.32
4006,5118,135.5
4006,5120,107.71
4006,5125,73.85
4006,5137,93.6
4006,5140,77.34
4006,5143,128.98
4006,5155,149.07
4006,5162,88.87
4006,5164,131.49
4006,5174,92.45
4006,5181,104.92
4006,5189,210.69
4006,5200,134.09
4006,5201,150.18
4006,5205,126.12
4006,5207,154.2
4006,5212,119.13
4006,5213,251.47
4006,5215,96.8
4006,5226,129.73
4006,5229,127.91
4006,5231,
4006,5232,101.44
4006,5233,163.52
4006,5241,117.37
4006,5257,163.03
4006,5259,129.01
4006,5261,77.78
4006,5292,240.95
4006,5304,144.82
4006,5309,145.12
4006,5311,152.7
4006,5315,200.29
4006,5322,128.6
4006,5325,109.23
4006,5333,240.51
4006,5335,94.95
4006,5339,260.74
4006,5351,169.84
4006,5357,178.65
4006,5372,169.43
4006,5373,76.26
4006,5375,174.75
4006,5379,263.64
4006,5382,158.44
4006,5389,174.18
4006,5414,128.83
4006,5419,233.48
4006,5426,165.19
4006,5435,164.56
4006,5440,83.41
4006,5443,224.46
4006,5463,104.05
4006,5466,115.21
4006,5473,160.85
4006,5478,157.59
4006,5491,78.62
4006,5492,131.1
4006,5493,85.75
4006,5496,132.49
4006,5499,181.49
4006,5519,118.56
4006,5522,160.77
4006,5530,101.27
4006,5545,151.25
